Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Nissan Lafesta,Nissan,Lafesta,Automatic,2000.0,2014,10,Kenyan Used,949999.0,500k-1M
Kia Sportage,Kia,Sportage,Automatic,2000.0,2007,17,Kenyan Used,979999.0,500k-1M
Nissan Fuga,Nissan,Fuga,Automatic,2500.0,2011,13,Kenyan Used,1249999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2016,8,Foreign Used,2399999.0,2M-3M
Toyota Vitz,Toyota,Vitz,Automatic,1000.0,2009,15,Kenyan Used,595000.0,500k-1M
Subaru Wrx S4,Subaru,Wrx S4,Automatic,2000.0,2014,10,Kenyan Used,2399999.0,2M-3M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2015,9,Kenyan Used,3599999.0,3M-5M
Ford Ranger,Ford,Ranger,Automatic,2200.0,2016,8,Kenyan Used,4299999.0,3M-5M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2007,17,Kenyan Used,949999.0,500k-1M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2016,8,Kenyan Used,2349999.0,2M-3M
Toyota Hiace,Toyota,Hiace,Automatic,2700.0,2016,8,Kenyan Used,2449999.0,2M-3M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2014,10,Kenyan Used,2949999.0,2M-3M
Volkswagen Touareg,Volkswagen,Touareg,Automatic,3000.0,2009,15,Kenyan Used,1999999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2015,9,Kenyan Used,3549999.0,3M-5M
Range Rover Vogue,Range Rover,Vogue,Automatic,4400.0,2013,11,Kenyan Used,6999999.0,5M-10M
Mercedes Benz Gle,Mercedes Benz,Gle,Automatic,3000.0,2017,7,Foreign Used,9999999.0,5M-10M
Honda Vezel,Honda,Vezel,Automatic,1500.0,2016,8,Kenyan Used,2249999.0,2M-3M
Toyota Landcruiser Prado,Toyota,Landcruiser Prado,Automatic,2700.0,2017,7,Kenyan Used,4999999.0,3M-5M
Mitsubishi Galant Fortis,Mitsubishi,Galant Fortis,Automatic,2000.0,2012,12,Kenyan Used,1049999.0,1M-2M
Subaru Impreza,Subaru,Impreza,Automatic,1600.0,2015,9,Kenyan Used,1449999.0,1M-2M
Range Rover Vogue,Range Rover,Vogue,Automatic,3000.0,2013,11,Kenyan Used,9899999.0,5M-10M
Toyota Landcruiser Prado Vx,Toyota,Landcruiser Prado Vx,Automatic,3000.0,2015,9,Kenyan Used,6299999.0,5M-10M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,1800.0,2011,13,Kenyan Used,2499999.0,2M-3M
Mazda Demio,Mazda,Demio,Automatic,1500.0,2017,7,Foreign Used,1429999.0,1M-2M
Honda Fit,Honda,Fit,Automatic,1300.0,2008,16,Kenyan Used,579000.0,500k-1M
Mitsubishi Outlander,Mitsubishi,Outlander,Automatic,2000.0,2015,9,Kenyan Used,2499999.0,2M-3M
Bmw 520I,Bmw,520I,Automatic,2000.0,2012,12,Kenyan Used,1649999.0,1M-2M
Nissan Nv100 Clipper,Nissan,Nv100 Clipper,Automatic,660.0,2015,9,Kenyan Used,599999.0,500k-1M
Bmw 120I,Bmw,120I,Automatic,2000.0,2012,12,Kenyan Used,999999.0,500k-1M
Volkswagen Passat Cc,Volkswagen,Passat Cc,Automatic,1800.0,2013,11,Kenyan Used,999999.0,500k-1M
Nissan Note E Power,Nissan,Note E Power,Automatic,1200.0,2017,7,Foreign Used,1329999.0,1M-2M
Subaru Legacy,Subaru,Legacy,Automatic,2000.0,2005,19,Kenyan Used,719999.0,500k-1M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2013,11,Kenyan Used,2499999.0,2M-3M
Mercedes Benz Viano,Mercedes Benz,Viano,Automatic,2143.0,2013,11,Kenyan Used,2949999.0,2M-3M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2013,11,Kenyan Used,1599999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2017,7,Foreign Used,3599999.0,3M-5M
Peugeot 3008,Peugeot,3008,Automatic,1600.0,2017,7,Foreign Used,3799999.0,3M-5M
Porsche Cayenne,Porsche,Cayenne,Automatic,3600.0,2009,15,Kenyan Used,1899999.0,1M-2M
Land Rover Discovery Iv,Land Rover,Discovery Iv,Automatic,3000.0,2013,11,Kenyan Used,4499999.0,3M-5M
Mercedes Benz C300,Mercedes Benz,C300,Automatic,2000.0,2019,5,Kenyan Used,4499999.0,3M-5M
Mazda Cx5,Mazda,Cx5,Automatic,2000.0,2015,9,Kenyan Used,2349999.0,2M-3M
Nissan Note,Nissan,Note,Automatic,1200.0,2017,7,Foreign Used,1269999.0,1M-2M
Honda Vezel,Honda,Vezel,Automatic,1500.0,2015,9,Kenyan Used,2549999.0,2M-3M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2012,12,Kenyan Used,829999.0,500k-1M
Jeep Grand Cherokee,Jeep,Grand Cherokee,Automatic,3600.0,2012,12,Kenyan Used,3299999.0,3M-5M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2015,9,Kenyan Used,2199999.0,2M-3M
Toyota Hilux,Toyota,Hilux,Automatic,3000.0,2008,16,Kenyan Used,1199999.0,1M-2M
Subaru Impreza,Subaru,Impreza,Automatic,1500.0,2001,23,Kenyan Used,499999.0,0-500k
Bmw 320I,Bmw,320I,Automatic,2000.0,2015,9,Kenyan Used,2249999.0,2M-3M
Range Rover Vogue,Range Rover,Vogue,Automatic,4400.0,2014,10,Foreign Used,9449999.0,5M-10M
Nissan Tiida Latio,Nissan,Tiida Latio,Automatic,1500.0,2010,14,Kenyan Used,369999.0,0-500k
Honda N One,Honda,N One,Automatic,660.0,2017,7,Foreign Used,879999.0,500k-1M
Mercedes Benz C180,Mercedes Benz,C180,Automatic,1800.0,2007,17,Kenyan Used,829999.0,500k-1M
Toyota Ractis,Toyota,Ractis,Automatic,1500.0,2015,9,Kenyan Used,1299999.0,1M-2M
Suzuki Swift,Suzuki,Swift,Automatic,1200.0,2012,12,Kenyan Used,729999.0,500k-1M
Audi Q5,Audi,Q5,Automatic,2000.0,2018,6,Foreign Used,5499999.0,5M-10M
Toyota Aqua,Toyota,Aqua,Automatic,1500.0,2014,10,Kenyan Used,899999.0,500k-1M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2015,9,Kenyan Used,2699999.0,2M-3M
Audi A3,Audi,A3,Automatic,1800.0,2014,10,Kenyan Used,1699999.0,1M-2M
Nissan Note E Power,Nissan,Note E Power,Automatic,1200.0,2017,7,Foreign Used,1269999.0,1M-2M
Toyota Mark X Zio,Toyota,Mark X Zio,Automatic,2400.0,2012,12,Kenyan Used,1399999.0,1M-2M
Mercedes Benz Gle 350D,Mercedes Benz,Gle 350D,Automatic,3000.0,2015,9,Kenyan Used,5799999.0,5M-10M
Honda Fit,Honda,Fit,Automatic,1300.0,2017,7,Foreign Used,1479999.0,1M-2M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2015,9,Kenyan Used,1499999.0,1M-2M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2012,12,Kenyan Used,1599999.0,1M-2M
Toyota Mark Ii,Toyota,Mark Ii,Automatic,2500.0,2002,22,Kenyan Used,589999.0,500k-1M
Toyota Hiace,Toyota,Hiace,Automatic,2700.0,2012,12,Kenyan Used,2249999.0,2M-3M
Nissan Note,Nissan,Note,Automatic,1200.0,2017,7,Foreign Used,1299999.0,1M-2M
Toyota Noah,Toyota,Noah,Automatic,2000.0,2012,12,Kenyan Used,1149999.0,1M-2M
Audi A5,Audi,A5,Automatic,2000.0,2017,7,Foreign Used,3999999.0,3M-5M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2013,11,Kenyan Used,1299999.0,1M-2M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2022,2,Kenyan Used,7699999.0,5M-10M
Peugeot 208,Peugeot,208,Automatic,1200.0,2017,7,Foreign Used,1279999.0,1M-2M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2012,12,Kenyan Used,1189999.0,1M-2M
Hyundai Hd65,Hyundai,Hd65,Manual,3600.0,2019,5,Kenyan Used,3199999.0,3M-5M
